"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"32","DK Metcalf","WR","PIT","4.4","23.9","18.4","11.9","5.5","6.3","17.9","-","BYE","-","10.5","7.9","8.6","6.9","4.3","13.2","5.7","12.8","10.5","158.2"
"33","Xavier Worthy","WR","KC","19.8","3.2","4","14.8","10.3","BYE","3.9","11.7","-1","1.6","14.8","7.1","7.9","7.1","16.6","17","18.9","0","9.3","157.7"
"34","Rashod Bateman","WR","BAL","6.3","5.5","10.3","2.8","13.8","9.1","20.1","3.3","4","14.4","4","11.3","0","BYE","21.5","7.9","1.7","16.1","8.9","152.1"
"35","Keenan Allen","WR","FA","4.9","-","-","3.4","4.8","18.6","-","4.9","5.6","6.9","6.1","19.1","21.8","4.5","17.2","24.6","5","3","10","150.4"
"36","Josh Downs","WR","IND","-","-","3.7","18.2","11.4","16","0.8","20.2","9","10.7","16.9","4.2","-","BYE","4.7","13.6","3.7","14.4","10.5","147.5"
"37","Quentin Johnston","WR","LAC","5.3","19.6","11.4","1.8","BYE","3.7","-","-","20","9.4","11.8","0","2.2","13.3","13","3.3","7.3","25.1","9.8","147.2"
"38","Khalil Shakir","WR","BUF","11.7","8.1","16.2","8.2","-","2.9","10","15.4","8","8.8","11","BYE","5","19.1","12.9","3.2","4","-","9.6","144.5"
"39","Alec Pierce","WR","IND","20","14.1","4.9","1.4","20.9","0","2.5","1.6","5.6","16.1","8.9","4.4","8.6","BYE","0","-","21.2","12.7","8.9","142.9"
"40","Cooper Kupp","WR","SEA","25","5.7","-","-","-","-","-","13.6","15.9","11.5","25.6","16","3.2","17.7","0","3.9","3.4","-","11.8","141.5"
"41","Wan'Dale Robinson","WR","NYG","8.8","8.8","9.6","12.6","13","7.5","5.3","5.5","2.5","7.6","BYE","7.2","1.6","5.8","5.8","9.7","15.6","9.3","8","136.2"
"42","George Pickens","WR","DAL","10.5","3.9","8.2","12.8","4.1","6.8","19.6","9.4","-","18","12.9","6.8","14.9","-","-","-","6.5","0.5","9.6","134.9"
"43","Michael Pittman Jr.","WR","IND","5.1","3.6","5.6","14.3","12.2","11","7.8","2.1","1.9","-","7.1","12.6","6.7","BYE","6.8","2.9","21.4","10.2","8.2","131.3"
"44","Deebo Samuel Sr.","WR","WAS","16.2","14","-","8.7","2.5","19.2","0","10.6","-","10.1","4.1","2.6","2","4.5","3.4","21.6","8.6","-","8.5","128.1"
"45","Jalen Tolbert","WR","DAL","1.7","11.2","11.7","3.9","18.2","6.3","BYE","5.9","9.4","2.9","3.1","9.2","5.1","0","7.6","9","10.5","11.8","7.5","127.5"
"46","Jaylen Waddle","WR","MIA","13.7","6.5","4.6","5.6","6.6","BYE","1.6","6.5","6.6","7.1","4.7","24.4","9.3","16.4","0","-","0","7","7.5","120.6"
"47","Nick Westbrook-Ikhine","WR","MIA","0","0","0","0","-","7.4","8","10.9","13.5","4.6","18.7","11.8","19.6","2.4","1.9","8.7","5.2","7","7","119.7"
"48","DeAndre Hopkins","WR","BAL","1.3","1.4","16.3","4.1","-","7.4","0.3","3.9","24.6","7.6","4.4","12","11","11.2","6.1","5.7","1.7","-","7.4","119"
"49","Rome Odunze","WR","CHI","1.6","4.3","20.4","1.5","6.5","5","BYE","6.9","12.9","3.8","9.5","6.4","3.5","18.2","4.9","7.7","2","2.8","6.9","117.9"
"50","Jalen McMillan","WR","TB","9.7","2.6","1.1","-","-","0","4.1","7.2","-","-","BYE","1.6","3.5","19.9","16","14.2","20.5","16.5","9","116.9"
"51","Adam Thielen","WR","CAR","6.4","3","11.5","-","-","-","-","-","-","-","BYE","7.2","19.9","14.7","7.6","12.8","25.5","6.9","11.6","115.5"
"52","DeMario Douglas","WR","NE","2.2","0","11.3","2.8","8.9","18.2","2.4","2.2","7","7","7.9","8.8","4","BYE","8.6","5.9","12.6","4.9","6.7","114.7"
"53","Tank Dell","WR","HOU","7.4","1.8","8.7","-","5.3","15.2","0","11.5","15.6","5.8","7.8","8.7","2.8","BYE","5.1","18.8","-","-","8.2","114.5"
"54","Chris Godwin","WR","TB","18.3","21.2","14.3","9.9","9.1","30","10","-","-","-","BYE","-","-","-","-","-","-","-","16.1","112.8"
"55","Marvin Mims Jr.","WR","DEN","0","1.5","1.4","0","2.9","0","2.8","1.3","0.9","5","12.3","5.7","18.4","BYE","4","8","26.2","19.6","6.5","110"
"56","Ray-Ray McCloud III","WR","ATL","7.2","6","4.7","8.2","9.6","2.8","1.9","4.1","11","5.1","7.6","BYE","11.3","12.1","1.9","4.2","3.2","8.6","6.4","109.5"
"57","Romeo Doubs","WR","GB","7","7.7","2.3","5.9","-","18.4","13.4","8.7","4.8","BYE","2.2","6.9","-","-","17.5","3","11.3","-","8.4","109.1"
"58","Demarcus Robinson","WR","SF","6.2","6","3.7","4.7","10.3","-","1.4","16.5","24.4","2.8","2.9","8.5","11.9","0","0","0","0","8.7","6.4","108"
"59","Allen Lazard","WR","NYJ","23.9","2.1","12.3","8.3","11.4","20.4","7.8","-","-","-","-","BYE","-","2.3","0","3","1.4","14.6","9","107.5"
